ئافرىقا	Afrika
Nyuyork Shitati	New York (delstat)
سېرىي	Cerium
پرازېئودىمىي	Praseodym
Rodé Arili Shitati	Rhode Island
نېئودىي	Neodym
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europium
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pennsylvania
Yéngi Jérséy Shtati	New Jersey
فىنلاندىيە تىلى	Finsk
Indiyanna Shitati	Indiana
ئاپتوموبىل	Bil
Giorgiye Shitati	Georgia (USA)
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	Sør-Carolina
سىتسىلىيە	Sicilia
مانىلا	Manila
ساردىنىيە ئارىلى	Sardinia
Bordo	Bordeaux
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	Mexico by
توكيو	Tokyo
Barsélona	Barcelona
Missisipi Shitati	Mississippi
Ténnéssi Shitati	Tennessee
Astana	Astana
Yéngi Méksika Shitati	New Mexico
ئافېنا	Athen
Minnésota Shitati	Minnesota
باغداد	Bagdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	AC Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Guatemala by
Kanzas Shitati	Kansas
ھىندى تىلى	Hindi
ماراتىچە	Marathi
Missori Shitati	Missouri
Loyizanna Shitati	Louisiana
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hannover
Myunxén	München
Drézdén	Dresden
ۋالىبول	Volleyball
Wyéna	Wien
Kopénhagén	København
Stokgolm	Stockholm
Xélsinki	Helsingfors
دۇبلىن	Dublin
رېيكياۋىك	Reykjavík
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapest
Danzig	Gdańsk
Frankfort	Frankfurt am Main
Wroklaw	Wrocław
لانتان	Lantan
جۈي	Promethium
چالغا	Samarium
گادولنىي	Gadolinium
تېربىي	Terbium
Katolik dini	Katolisisme
ليۇكسېمبۇرگ شەھىرى	Luxembourg (by)
دىسپروزىي	Dysprosium
ۋادۇز	Vaduz
ئىنجىل	Bibelen
گولمىي	Holmium
ئېربىي	Erbium
فنوم پېن	Phnom Penh
تۇلىي	Thulium
سايگون	Ho Chi Minh-byen
ئىتتېربىي	Ytterbium
لۇتېتسىي	Lutetium
خانوي	Hanoi
ئىنگىلىز تىلى	Engelsk
Bangkok	Bangkok
ئاندوررا كەنتى	Andorra la Vella
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipei
ئامېرىتسىي	Americium
كىيۇرىي	Curium
Concepción, Chile	Concepción
بېركېلىي	Berkelium
كالىفورنىي	Californium
ئېينشتېينىي	Einsteinium
فېرمىي	Fermium
مېندېلېيېۋىي	Mendelevium
كىيېۋ	Kiev
نوبېلىي	Nobelium
لاۋرېنسىي	Lawrencium
كارېلىيە	Karelia
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nova Scotia
يېرېۋان	Jerevan
دارېسسالام	Dar-es-Salaam
خارتۇم	Khartoum
Yéngi Brunswik Ölkisi	New Brunswick
Britani Kolumbiye	Britisk Columbia
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Newfoundland og Labrador
Gherbiy Shimal Rayoni	Nordvestterritoriene
Yukon Rayoni	Yukon
Florénsa	Firenze
Ésén	Essen
كومى	Komi
Léypzig	Leipzig
Nyurnbérg	Nürnberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria (Britisk Columbia)
Winnipég	Winnipeg
Halifaks	Halifax (Nova Scotia)
Kwébék Shehiri	Québec (by)
ئېلېكترون	Elektron
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Proton
Kurow	Kurów
Naplés	Napoli
Braunshwéyg	Braunschweig
Madrid	Madrid
سۇ ئاستى كېمىسى	Undervannsbåt
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogotá
لىما	Lima
Santiyago	Santiago de Chile
كىتو	Quito
سۇكرې	Sucre (Bolivia)
ئاسۇنسىئون	Asunción
Öçke	Geit
Héydélbérg	Heidelberg
كاتماندۇ	Katmandu
سان خوسې (كوستارىكا)	San José
سان سالۋادور	San Salvador
Kanbérra	Canberra
Sidnéy	Sydney
يېشىل رەڭ	Grønn
Mélburn	Melbourne
قىزىل رەڭ	Rød
ماناگۇئا	Managua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Komet
ئالجىر	Alger
تۇنىس شەھىرى	Tunis
ترىپولى	Tripoli
تېھران	Teheran
جاكارتا	Jakarta
Enqere	Ankara
رىياد	Riyadh
بېلگراد	Beograd
ئادىگېيە	Adygia
پرايا	Praia
دەمەشىق	Damaskus
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	Fransk Guyana
لومې	Lomé
ئاممان	Amman
بېيرۇت	Beirut
مۇسكات	Muskat (Oman)
نىكوسىيە	Nikosia
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Solformørkelse
كامپالا	Kampala
Mektep	Skole
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astrakhan
Tiktak top	Bordtennis
Wikipedia:Sandbox	Wikipedia:Sandkasse
قالماقىستان	Kalmykia
Osasko	Osasco
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Skog
كۇڭزى	Konfucius
كوربين بيلو	Corbin Bleu
Surat	Surat
ياۋرۇ	Euro
ئامېرىكا دولىرى	Amerikansk dollar
يەر ئوتتۇرا دېڭىزى	Middelhavet
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Kristendom
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adelaide
داغىستان	Dagestan
Monzón	Monzón
گۇجارات تىل	Gujarati
پورتۇگال تىلى	Portugisisk
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Tsjetsjenia
كۋېچۇئا تىلى	Quechua
ئىنگۇشېتىيە	Ingusjetia
شىمالىي ئوسېتىيە	Nord-Ossetia
كاباردىنو-بالقارىستان	Kabardino-Balkaria
ئالماس	Diamant
ياپون تىلى	Japansk
Énsklopédiye	Encyklopedi
ئۇيغۇرچە ۋىكىپىدىيە	Portal:Forside
Latex	LaTeX
كوندېنساتور	Kondensator (elektrisk)
قاراچاي-چېركېسىيە	Karatsjajevo-Tsjerkessia
موردوۋىيە	Mordovia
ۋاسكېتبول	Basketball
چاڭجياڭ دەرياسى	Chang Jiang
ئۇدمۇرتىيە	Udmurtia
مارى	Mari El
ھىمالايا تاغ تىزمىسى	Himalaya
ئاند تاغلىرى	Andes
قىيىلىق تاغلار	Rocky Mountains
Kapétown	Cape Town
چۇۋاشىيە	Tsjuvasjia
تەڭرىتاغ	Tian Shan
كاۋكاز تاغ تىزمىسى	Kaukasus
تاتارىستان	Tatarstan
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Basjkortostan
Semerqend	Samarkand
Buxara	Bukhara
بېتلېخېم	Betlehem
Andalusiye	Andalucía
كايمان تاقىم ئاراللىرى	Caymanøyene
Kordowa	Córdoba (Spania)
شىئەن شەھىرى	Xi'an
كابۇل	Kabul
لاسا شەھىرى	Lhasa
غىلاپ	Vagina
تامىل تىلى	Tamilsk
پەلسەپە	Filosofi
ئالەم ئايرۇپىلانى	Romfart
ئالتاي تاغ تىزمىسى	Altaj (fjellkjede)
تۈر:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
ئالتاي	Altaj
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland
ئانارخىزم	Anarkisme
لىبېرالىزىم	Liberalisme
فاشىسىت	Fascisme
مىللەتچىلىك	Nasjonalisme
غەربىي ساھارا	Vest-Sahara
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Khakasia
Strasburg	Strasbourg
ياكۇتىيە	Sakha
كرودىيە تىلى	Kroatisk
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Burjatia
جامىس جويىس	James Joyce
كاتالان تىلى	Katalansk
دىنسىزلىق	Ateisme
لى بەي	Li Bai
دۇنيا بانكىسى	Verdensbanken
كونسېرۋاتىپ	Konservatisme
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	NATO
نوبېل مۇكاپاتى	Nobelprisen
چىن شىخۇاڭ	Qin Shi Huangdi
خەن سۇلالىسى	Han-dynastiet
فېمىنىزم	Feminisme
ئىدېئولوگىيە	Ideologi
پەي توپ	Badminton
يۈەن سۇلالىسى	Yuan-dynastiet
كولۇمبو	Christofer Columbus
يەھۇدىلار	Jøder
سېرىق دەريا	Den gule flod
قۇلاق	Øre
بۇرۇن	Nese
كۆز	Øye
مۇسكۇل	Muskel
Töge	Kameler
پىل	Elefanter
چۈمۈلە	Maur
سۈي سۇلالىسى	Sui-dynastiet
گوللاندىيە تىلى	Nederlandsk
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Keiser Wen av Sui
دېئوكسىرىبونۇكلېئىك كىسلاتا	DNA
سۇڭ سۇلالىسى	Song-dynastiet
Çeyze	Aubergine
رۇس تىلى	Russisk
ساخالىن	Sakhalin
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	OPEC
خەلقئارا پۇل فوندى تەشكىلاتى	Det internasjonale pengefondet
دۇنيا سودا تەشكىلاتى	Verdens handelsorganisasjon
سۋاھىلىچە	Swahili
توكيو ئۇنىۋېرستېتى	Universitetet i Tokyo
خەنزۇ تىلى	Kinesisk
ئۆپكە	Lunge
نەپەسلىنىش سىستېمى	Åndedrettssystemet
رۇمىنىيە تىلى	Rumensk
بۇلغارىيە تىلى	Bulgarsk
يەر تەۋرەش	Jordskjelv
ماگادان	Magadan
تەبىئىي پەن	Naturvitenskap
فرانكلىن روزۋېلت	Franklin D. Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicenna
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King jr.
Yanardag	Vulkan
ئىسسىق بەلباغ سىكلونى	Tropisk syklon
تېلۇگۇ تىلى	Telugu
گرۇزىن تىلى	Georgisk
ئىقتىسادشۇناسلىق	Samfunnsøkonomi
يېن	Japansk yen
قىزىل تۈلكە	Rødrev
ئىسكىرىپكا	Fiolin
چوڭ ئىسكىروپكا	Cello
ئىسكەندەر زۇلقەرنەيىن	Aleksander den store
ئۆمەر ئىبنى خەتتاب	Umar ibn al-Khattab
ئامۇ دەرياسى	Amu-Darja
سۈت	Melk
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hongkong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Rio de Janeiro
سوغۇق ئۇرۇش	Den kalde krigen
شاڭخەي شەھىرى	Shanghai
Bilbaw	Bilbao
Séwéliye	Sevilla
چىڭ سۇلالىسى	Qing-dynastiet
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Albansk
باسكى تىلى	Baskisk
ئاراگون تىلى	Aragonesisk
ئەرمەن تىلى	Armensk
ئۇكرائىن تىلى	Ukrainsk
Walénsiye	Valencia
Malaga	Málaga
شۋېتسىيە تىلى	Svensk
دانىش تىلى	Dansk
نورۋېگىيە تىلى	Norsk
ليۇكسېمبۇرگ تىلى	Luxembourgsk
چېخ تىلى	Tsjekkisk
سلوۋاك تىلى	Slovakisk
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Slovensk
ماجار تىلى	Ungarsk
ۋولتىر	Voltaire
ئېستون تىلى	Estisk
لاتۋىيە تىلى	Latvisk
لىتۋا تىلى	Litauisk
ھىندى دىنى	Hinduisme
بېلورۇس تىل	Hviterussisk
يېلىن	Bryst
ئاتوم	Atom
گرېك تىلى	Gresk
ئرېلاندىيە تىلى	Irsk
مالتا تىلى	Maltesisk
پارس تىلى	Persisk
ئىسلام	Religion
كورىيەچە	Koreansk
Injilning birinchi tomi	Første Mosebok
كانتونچە	Standard kantonesisk
ئېكسودۇس	Andre Mosebok
ۋيېتنام تىلى	Vietnamesisk
كخمېر تىلى	Khmer (språk)
لائوس تىلى	Laotisk
تايلاندچە	Thai
بىرما تىلى	Burmesisk
مالاي تىلى	Malayisk
ھىندونېزىيە تىلى	Indonesisk
موڭغۇل تىلى	Mongolsk
Baku	Baku
قازاق تىلى	Kasakhisk
قىرغىز تىلى	Kirgisisk
تاجىك تىلى	Tadsjikisk
ئۆزبېك تىلى	Usbekisk
تۈركمەن تىلى	Turkmensk
يەھۇدى دىنى	Jødedom
تىمپۇ	Thimpu
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Hebraisk
ئەزەربەيجان تىلى	Aserbajdsjansk
ماكېدون تىلى	Makedonsk
سېرب تىلى	Serbisk
سېربو-كرودىيىلىكلەر تىلى	Serbokroatisk
بوسنىيە تىلى	Bosnisk
گالىسىيەچە	Galisisk
ۋېلش تىلى	Walisisk
دىلى	Dili
